Memory Length,4000,
Trigger Level,0.00000e+00,
Source,CH2,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,5.00000e-01,
Vertical Position,-1.46000e+00,
Horizontal Units,S,
Horizontal Scale,2.50000e-04,
Horizontal Position,1.1880000e-02,
Horizontal Mode,Main,
Sampling Period,1.00000e-06,
Firmware,V1.14,
Time, ,
Mode,Detail,
Waveform Data,
1.004200e-2,4.00e-2,
1.004300e-2,4.00e-2,
1.004400e-2,4.00e-2,
1.004500e-2,0.00e+0,
1.004600e-2,0.00e+0,
1.004700e-2,2.00e-2,
1.004800e-2,2.00e-2,
1.004900e-2,2.00e-2,
1.005000e-2,2.00e-2,
1.005100e-2,2.00e-2,
1.005200e-2,2.00e-2,
1.005300e-2,0.00e+0,
1.005400e-2,0.00e+0,
1.005500e-2,2.00e-2,
1.005600e-2,2.00e-2,
1.005700e-2,0.00e+0,
1.005800e-2,0.00e+0,
1.005900e-2,2.00e-2,
1.006000e-2,2.00e-2,
1.006100e-2,0.00e+0,
1.006200e-2,0.00e+0,
1.006300e-2,2.00e-2,
1.006400e-2,2.00e-2,
1.006500e-2,2.00e-2,
1.006600e-2,2.00e-2,
1.006700e-2,4.00e-2,
1.006800e-2,4.00e-2,
1.006900e-2,2.00e-2,
1.007000e-2,2.00e-2,
1.007100e-2,4.00e-2,
1.007200e-2,4.00e-2,
1.007300e-2,2.00e-2,
1.007400e-2,2.00e-2,
1.007500e-2,2.00e-2,
1.007600e-2,2.00e-2,
1.007700e-2,2.00e-2,
1.007800e-2,2.00e-2,
1.007900e-2,2.00e-2,
1.008000e-2,2.00e-2,
1.008100e-2,2.00e-2,
1.008200e-2,2.00e-2,
1.008300e-2,4.00e-2,
1.008400e-2,4.00e-2,
1.008500e-2,2.00e-2,
1.008600e-2,2.00e-2,
1.008700e-2,2.00e-2,
1.008800e-2,2.00e-2,
1.008900e-2,2.00e-2,
1.009000e-2,2.00e-2,
1.009100e-2,2.00e-2,
1.009200e-2,2.00e-2,
1.009300e-2,2.00e-2,
1.009400e-2,2.00e-2,
1.009500e-2,2.00e-2,
1.009600e-2,2.00e-2,
